trial_id,seed,blocks,preserve,samples,ci95_low,ci95_high
T0277,1729,calendar_month,all symbols together,1000,-0.0025386969736261593,-0.002151345055354396
T0278,1729,calendar_month,all symbols together,1000,-0.0030509721164126554,-0.0021978380067382425
T0279,1729,calendar_month,all symbols together,1000,-0.004364666010042167,-0.0016861199287465103
T0280,1729,calendar_month,all symbols together,1000,-0.004087325342123364,0.001034082154238259
T0281,1729,calendar_month,all symbols together,1000,-0.002478963162211793,-0.0020711780746559003
T0282,1729,calendar_month,all symbols together,1000,-0.003042354559028946,-0.00204684317907283
T0283,1729,calendar_month,all symbols together,1000,-0.003752601692460509,-0.0011713439076502876
T0284,1729,calendar_month,all symbols together,1000,-0.0042668744276704385,0.0014323964037465614
T0285,1729,calendar_month,all symbols together,1000,-0.0025235041596456784,-0.0020861527402403625
T0286,1729,calendar_month,all symbols together,1000,-0.003094503940596858,-0.0019973059113503797
T0287,1729,calendar_month,all symbols together,1000,-0.0037195846495595934,-0.0010940351945407766
T0288,1729,calendar_month,all symbols together,1000,-0.004638860971575665,0.001087147653185062
T0289,1729,calendar_month,all symbols together,1000,-0.002171931047584191,-0.00197051579763872
T0290,1729,calendar_month,all symbols together,1000,-0.0024030429895848322,-0.0016758017360226443
T0291,1729,calendar_month,all symbols together,1000,-0.0028760697131066356,-0.0005374827959563069
T0292,1729,calendar_month,all symbols together,1000,-0.0031744849737931746,0.0013457711863944098
T0293,1729,calendar_month,all symbols together,1000,-0.0021127162126749442,-0.0018274590745155964
T0294,1729,calendar_month,all symbols together,1000,-0.0024009257245669294,-0.0014696654693714564
T0295,1729,calendar_month,all symbols together,1000,-0.002892817419827235,-0.0003771841032208497
T0296,1729,calendar_month,all symbols together,1000,-0.00298386453407546,0.001579252001335572
T0297,1729,calendar_month,all symbols together,1000,-0.0020665316123097484,-0.0018183405530518251
T0298,1729,calendar_month,all symbols together,1000,-0.0023412697302894144,-0.0015222077851860822
T0299,1729,calendar_month,all symbols together,1000,-0.002781711770577626,-0.00038004884542894014
T0300,1729,calendar_month,all symbols together,1000,-0.0031480014517756205,0.0018047580215005427
T0301,1729,calendar_month,all symbols together,1000,-0.0017452442922742842,-0.001306846494092459
T0302,1729,calendar_month,all symbols together,1000,-0.00200828271494964,-0.0008547513397608239
T0303,1729,calendar_month,all symbols together,1000,-0.0022609313296390854,0.000659777078876748
T0304,1729,calendar_month,all symbols together,1000,-0.003508209284355785,0.00212312337092605
